,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
2680,boys,Street,High,0.00011152350697108575,1.4354510798258563e-05,0.00962750680269789,0.9584717883574788,0.2850247873291649,4.392899610535703e-12
2775,boys,thing,big,8.783366615396117e-05,2.0351703133234907e-05,0.009339334881523262,0.9844757710405697,0.17527186006059783,2.9261050478023373e-12
2759,boys,money,big,3.557542715471982e-05,1.6898327898491914e-05,0.007754591453531969,0.8174251696899582,0.5759826010545522,2.685110378720219e-12
2675,boys,school,High,5.491910106978418e-05,9.394056761936768e-06,0.0063005522550756915,0.6272549800608689,0.7787884757273723,2.531481361478175e-12
2838,boys,step,big,4.1741811193038616e-05,1.9343766162627652e-05,0.008876795660783705,0.9357186955367295,0.35263539698288643,2.5275191201452713e-12
2753,boys,game,big,8.609406496821762e-05,2.0447340429951684e-05,0.009383222547108506,0.9891020473187319,0.1469322540977394,2.4270526602345306e-12
2823,boys,reason,big,2.9993270700232357e-05,1.838297236465854e-05,0.008435890299076132,0.8892420832908486,0.45735910597897084,2.1272954700873197e-12
2792,boys,problem,big,5.3163895566069246e-05,2.0202280315106316e-05,0.009270765203186858,0.9772477202418147,0.21189842604462913,2.1098933431262433e-12
2832,boys,impact,big,3.7072129128049474e-05,1.956584592869278e-05,0.008978707392303883,0.9464613910005034,0.3226921387356537,2.1015917867976925e-12
2765,boys,event,big,3.4948574149505295e-05,1.953008555413531e-05,0.008962297064809693,0.9447315494199394,0.32772240564095645,2.0047447126735784e-12
2807,boys,question,big,3.8815664973205684e-05,1.9932368499754272e-05,0.009146903489228577,0.9641912383939771,0.26505016139759724,1.875720427457398e-12
2810,boys,role,big,2.4902243356313115e-05,1.7523800880368488e-05,0.008041619109097115,0.8476812613824724,0.5304449175323667,1.8614465664686817e-12
2791,boys,name,big,2.803549445256417e-05,1.902408552138283e-05,0.008730095183473289,0.9202547393402432,0.3912224418562972,1.8216072574432753e-12
2744,boys,or,big,3.4314117416764744e-05,1.9756613058137277e-05,0.009066249849787924,0.955689395930586,0.29423728528470094,1.8084675287615912e-12
2777,boys,enough,big,9.63922714031879e-05,2.0578125355736742e-05,0.009443239353140192,0.9954285247545427,0.09504139950876601,1.7802534788784665e-12
2688,boys,Court,High,0.00015621412959948425,1.493223297642129e-05,0.010014982508314126,0.9970471474943841,0.07613580742885855,1.7786243086536712e-12
2768,boys,win,big,3.92618015526043e-05,2.0161465662148156e-05,0.009252035482654186,0.9752733873480178,0.22080810180375415,1.6171288237715285e-12
2763,boys,night,big,2.1164963420914883e-05,1.748410021727751e-05,0.008023400595137972,0.8457608156757204,0.5335018903029121,1.5840002590984242e-12
2780,boys,issue,big,3.479272526150286e-05,2.0032175150562254e-05,0.0091927044587689,0.969019199418463,0.24681426970763434,1.581357707044882e-12
2785,boys,games,big,2.5295364051256535e-05,1.922447667895497e-05,0.00882205407829453,0.9299482887237529,0.36758448097296936,1.576966050884029e-12
2771,boys,change,big,2.7874409881632956e-05,1.9615325472260228e-05,0.009001413404873745,0.9488548718549266,0.3155842289344348,1.5531993494080698e-12
2761,boys,play,big,3.0428254299856594e-05,1.9935752817147424e-05,0.009148456542222379,0.9643549484507354,0.2644538481817979,1.4675989682370343e-12
2851,boys,numbers,big,1.9645838826794445e-05,1.777480655757593e-05,0.008156804853565626,0.8598231939758589,0.5105267289122387,1.454166102574635e-12
2690,boys,River,High,2.5082302650259395e-05,1.2541151325129697e-05,0.008411294637153191,0.837391110543251,0.5465394563243039,1.4460695410167885e-12
2754,boys,part,big,0.00019026656324006334,2.0657512580349736e-05,0.009479669909891223,0.9992687340308866,0.0370418198609467,1.380149174633168e-12
2751,boys,help,big,2.3650939384189734e-05,1.9537732534765434e-05,0.008965806241042743,0.9451014578793292,0.32665401833090074,1.3533181586111379e-12
2847,boys,challenge,big,4.513043126775978e-05,2.0416147478272283e-05,0.009368908196129132,0.9875931463213768,0.15675458029888986,1.3531704363596053e-12
2871,boys,brother,big,3.6267826361261466e-05,2.0267314731293173e-05,0.009300609299654714,0.980393639116544,0.19682939140371122,1.3456096408765613e-12
661,boys,market,black,4.988269685416106e-05,4.43401749814765e-06,0.009665096654049653,0.7872660547298627,0.6165377056342951,1.317993204749625e-12
2801,boys,plans,big,2.1432534873060476e-05,1.9391341075626145e-05,0.008898627644158438,0.9380200434312894,0.3464667541220008,1.2813447273713347e-12
3003,boys,mistake,big,2.1442491385040607e-05,1.9400349348370074e-05,0.008902761513216418,0.9384558018637541,0.3452845897944811,1.278753190943753e-12
2888,boys,crowd,big,2.172547701946674e-05,1.965638396999372e-05,0.009020255025034719,0.9508410002860127,0.30954810016539935,1.192394343639695e-12
2964,boys,factor,big,2.5226550352540096e-05,1.997101902909424e-05,0.009164640099992353,0.9660608858344881,0.25815184135950164,1.1919244636685267e-12
2825,boys,changes,big,3.645913825778758e-05,2.0374224320528354e-05,0.009349669786110166,0.9855651915711423,0.16903796938513654,1.1739997990786833e-12
3326,boys,ones,young,2.0860448062741867e-05,3.042148675816522e-05,0.007578463806897874,0.9700433672829278,0.24281357275922844,1.167772402590599e-12
2837,boys,data,big,2.1864347206394775e-05,1.978202842483337e-05,0.009077912884530403,0.9569188170046166,0.2902136597246371,1.1394917823760511e-12
2748,boys,three,big,1.4779406037203389e-05,1.7550544669179025e-05,0.008053891752721443,0.8489749424045193,0.5283717266001525,1.1038064774544471e-12
2708,boys,Point,High,1.9071706650137583e-05,1.2396609322589427e-05,0.008314350956362562,0.8277398285445394,0.5610504855107292,1.1028660498313491e-12
2745,boys,one,big,2.596207913943704e-05,1.0276656326027161e-05,0.004715926439314003,0.4971141281912173,0.8676723476121996,1.0917270762566765e-12
2772,boys,project,big,1.9681839621237913e-05,1.9681839621237913e-05,0.009031936546234217,0.952072370050101,0.3057394733014671,1.069704365292782e-12
2922,boys,banks,big,2.4327686520442013e-05,2.009678451688688e-05,0.00922235350114331,0.972144557296989,0.23420056984991297,1.0559834201289768e-12
2678,boys,School,High,0.0034674230134700357,1.4975581121299157e-05,0.010044055917053811,0.9999415668533571,0.001989113613069917,1.037431003682488e-12
2704,boys,Commissioner,High,4.7885754882278194e-05,1.4821781273086108e-05,0.009940903040182195,0.9896721248892497,0.14300440955163635,1.0089787163504727e-12
3324,boys,Americans,young,1.2383833085944576e-05,2.8895610533870676e-05,0.007198344392237168,0.9213880822063575,0.3885771285314998,1.0009141302942534e-12
2827,boys,questions,big,1.2849109312480327e-05,1.7438076924080442e-05,0.008002280645387131,0.8435345245019846,0.5370153340534113,9.628798049766929e-13
2747,boys,way,big,5.9634699118637444e-05,2.060107787734748e-05,0.009453772195737922,0.9965388102801386,0.08258947763495746,9.592213323886561e-13
3357,boys,generation,young,1.1507495167941005e-05,2.876873791985251e-05,0.00716673845788338,0.9173425226090727,0.39803433660054555,9.44373311172131e-13
3084,boys,chunk,big,1.6444416046913003e-05,1.952774405570919e-05,0.008961222558279065,0.944618283790358,0.32804876736160477,9.440091503554165e-13
2749,boys,day,big,6.073627731658564e-05,2.0606951232412983e-05,0.009456467460575253,0.9968229229029915,0.07908622816117757,9.360341819456607e-13
2880,boys,red,big,1.767275106162992e-05,1.9751898245351087e-05,0.00906408623649101,0.9554613256348171,0.29497711242466207,9.333087733930202e-13
3307,boys,couple,young,2.1127176379125548e-05,3.081046555289142e-05,0.007675364452843196,0.982446649963929,0.1863858024623296,9.312184092094853e-13
2915,boys,wins,big,2.0029644522094384e-05,2.0029644522094384e-05,0.009191543161035367,0.9688967849750223,0.24729442936914442,9.119042665408466e-13
2863,boys,band,big,2.2302871249338744e-05,2.0178788273211244e-05,0.009259984776365943,0.9761113364263395,0.21707351445380257,9.046341348326128e-13
3290,boys,American,young,9.720372402671214e-06,2.4300931006678036e-05,0.0060537385162019305,0.7748785300738471,0.6320811776944085,9.038624247602875e-13
2852,boys,moment,big,1.2347472735995439e-05,1.804630630645487e-05,0.008281395265406352,0.8729564891534225,0.4877277786422044,9.000101468495332e-13
433,boys,more,little,0.000330036673567102,3.161270819608257e-06,0.00551265086958358,0.9878670358293776,0.15520380558436503,8.926614049457236e-13
2846,boys,break,big,1.4131378543723273e-05,1.917829945219587e-05,0.00880086348889865,0.9277145513003753,0.37318662293802846,8.901147098812483e-13
2757,boys,city,big,6.0754954408601475e-05,2.0613288102918357e-05,0.00945937543124302,0.9971294572227936,0.07512231119285281,8.899392796296468e-13
701,boys,male,black,3.310294521046464e-05,4.565923477305468e-06,0.009952620110675606,0.8106861471968494,0.5853963742451846,8.806081885869759e-13
2882,boys,fish,big,1.4180041772348189e-05,1.9244342405329683e-05,0.008831170399914573,0.9309092562733479,0.3651437613359312,8.799596033732087e-13
2723,boys,Representative,High,1.815870794401305e-05,1.3886070780715865e-05,0.009313326158095542,0.9271933597392895,0.3744672683809358,8.793929780763756e-13
2903,boys,sister,big,1.2840271425857192e-05,1.8766550545483588e-05,0.008611913163625511,0.9077969640715833,0.41932148341937214,8.701726171587009e-13
2864,boys,ones,big,1.6655443040593347e-05,1.97783386107046e-05,0.009076219640010593,0.9567403291117049,0.2908015890941562,8.694563224301161e-13
2946,boys,trouble,big,1.1375275956780774e-05,1.6625403321448824e-05,0.007629347192365392,0.8042229511011049,0.5942787541026916,8.574557443239911e-13
3045,boys,crowds,big,1.2965481072934364e-05,1.8949549260442532e-05,0.008695890719248313,0.9166491864054693,0.39959811063066975,8.537387997525953e-13
3006,boys,hole,big,1.2976793389604163e-05,1.8966082646344545e-05,0.008703477839925805,0.9174489581851203,0.3977582910140499,8.520343378962511e-13
2746,boys,time,big,2.3876981225191014e-05,9.258421291400598e-06,0.004248661468209575,0.44785890300185643,0.8940941512066128,8.39753337834262e-13
3043,boys,impression,big,1.091566677026571e-05,1.7283139052920708e-05,0.007931180125930947,0.8360396932746034,0.5486116360716918,8.208725278812011e-13
2758,boys,business,big,8.367082504055435e-05,2.0646047737279646e-05,0.009474408728156471,0.9987141435797879,0.04980248553914005,8.151060431064688e-13
2909,boys,winner,big,1.442442778903394e-05,1.9576009142260347e-05,0.008983371260205188,0.9469530175463351,0.3212464490222538,8.148927185447384e-13
2694,boys,Commission,High,1.6503826606501042e-05,9.752261176568797e-06,0.006540798369143517,0.6511728154169546,0.7589012992815125,7.989250411453432e-13
2727,boys,Desert,High,1.7300386287273484e-05,1.4056563858409708e-05,0.009427675110029836,0.9385774331763037,0.3449398793664059,7.908297255006484e-13
