,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
1648,coffee,home,expensive,3.2000974877698677e-07,1.9200584926619206e-07,0.000949667616334283,1.0,45.278675546655066,2.6420620420371546e-15
1309,coffee,term,popular,1.9200584926619206e-07,1.9200584926619206e-07,0.000949667616334283,0.25,99.649668307739,8.722006649670642e-16
1649,coffee,process,expensive,3.2000974877698677e-07,1.9200584926619206e-07,0.000949667616334283,1.0,14.80064596521565,8.636344687696025e-16
1284,coffee,site,popular,2.5600779902158937e-07,1.9200584926619206e-07,0.000949667616334283,0.25,29.87116755727114,3.4860329725447565e-16
1660,coffee,equipment,expensive,4.4801364828778145e-07,1.9200584926619206e-07,0.000949667616334283,1.0,4.235480473469485,3.4600312122861884e-16
1283,coffee,road,popular,1.9200584926619206e-07,1.9200584926619206e-07,0.000949667616334283,0.25,34.9018612354051,3.054844747109347e-16
80,coffee,doubt,much,5.120155980431787e-07,1.9200584926619206e-07,0.000949667616334283,0.14285714285714285,21.237113978300226,2.8324792528965345e-16
1272,coffee,American,popular,2.5600779902158937e-07,1.9200584926619206e-07,0.000949667616334283,0.25,23.801709969313066,2.7777135124326754e-16
2168,coffee,campus,small,1.9200584926619206e-07,3.840116985323841e-07,0.000949667616334283,0.07692307692307693,45.45718912654064,2.448441703172894e-16
1288,coffee,annual,popular,1.9200584926619206e-07,1.9200584926619206e-07,0.000949667616334283,0.25,27.329530108898226,2.3920635902776222e-16
1380,coffee,violence,fresh,1.9200584926619206e-07,1.9200584926619206e-07,0.000949667616334283,0.07692307692307693,84.92845909441549,2.2872331640890093e-16
61,coffee,variety,much,2.5600779902158937e-07,1.9200584926619206e-07,0.000949667616334283,0.14285714285714285,29.460454897672196,1.9646296423283933e-16
1281,coffee,social,popular,3.2000974877698677e-07,1.9200584926619206e-07,0.000949667616334283,0.25,13.075344101016999,1.9074028733611826e-16
1274,coffee,today,popular,2.5600779902158937e-07,1.9200584926619206e-07,0.000949667616334283,0.25,14.369604462455028,1.676965416986222e-16
