,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
1652,relationship,out,close,0.00013344884099411087,5.147312438344275e-05,0.017021017297017705,0.8050481153994861,0.592965257332868,6.932822767911009e-11
3803,relationship,place,better,0.00046999779786057274,2.506654921923054e-05,0.027975207133789214,0.9791322496826224,0.201288856847582,6.63412145812557e-11
3744,relationship,understanding,better,0.00021572341116113912,2.3321449855258278e-05,0.026027610927019974,0.910966382445699,0.41165855565352705,5.3904407567780676e-11
1702,relationship,as,good,0.0003504966748112804,5.4979870558632205e-05,0.015339898340361473,0.9942526702086139,0.10595371362648609,3.1320326431983716e-11
1692,relationship,people,good,0.00014930010142565287,5.368093534405497e-05,0.014977483261172058,0.9707628039648555,0.23957301238096484,2.8757883087609056e-11
3401,relationship,attention,close,0.00011146320317935482,6.269805178838707e-05,0.02073285110943697,0.9806078227436406,0.19488055445261712,2.8236645477863897e-11
2913,relationship,range,close,5.599240555696024e-05,5.599240555696024e-05,0.018515443056983254,0.8757304148573162,0.4824452431021968,2.8005310341536463e-11
2520,relationship,family,close,5.2515396806418115e-05,5.06398469204746e-05,0.016745470974926593,0.7920155190843661,0.6102712523207113,2.7176862352531896e-11
1762,relationship,down,close,6.031840460852183e-05,4.175889549820742e-05,0.013808737882015532,0.6531159809061401,0.7571319758542766,2.6334460364337582e-11
2928,relationship,games,close,5.1078341645918514e-05,5.516460897759199e-05,0.018241709141185218,0.8627835404614632,0.5052442940838225,2.596954119909922e-11
3678,relationship,part,better,9.569141479807088e-05,1.867149557035529e-05,0.020838087903922144,0.729333076637275,0.6838413762780398,2.5460405831046735e-11
4282,relationship,way,better,0.0004114641921702277,2.5517159204355204e-05,0.028478104742876355,0.9967336660006724,0.075570011626353,2.2595655350115604e-11
3500,relationship,game,close,6.609875723037364e-05,6.154022224896856e-05,0.020349982634800916,0.9624991786730165,0.2705202415796042,2.2393200260779243e-11
2039,relationship,day,good,0.0001004705557470294,5.358429639841568e-05,0.014950520091074277,0.9690151910881474,0.24654822737914367,1.9844242354512294e-11
4288,relationship,health,better,0.00011453219151768822,2.4763717084905554e-05,0.027637235137308355,0.9673032298057924,0.2521123382747915,1.9762054764068866e-11
3295,relationship,race,close,3.8765665701952254e-05,5.508805126066899e-05,0.01821639320710165,0.8615861652007538,0.5072843762779544,1.9734154984356913e-11
3645,relationship,eye,close,7.183388425800859e-05,6.256499596665264e-05,0.02068885250880143,0.9785268078487163,0.20507864010858112,1.9068547103257072e-11
4172,relationship,person,better,6.916060116357429e-05,2.213139237234377e-05,0.02469946223393588,0.8644811781877557,0.5020579885346681,1.8980553682388955e-11
3478,relationship,call,close,3.607281388132415e-05,5.7292116164456004e-05,0.018945228444917056,0.8960581021244554,0.4435323566016965,1.7366009701503117e-11
4355,relationship,at,better,0.0003414472899654368,2.5528769343210222e-05,0.028491062092389465,0.9971871732336312,0.0693244811101949,1.721665656575221e-11
2322,relationship,time,good,0.00045916683348017025,5.523811530588513e-05,0.01541195104127803,0.9989227526754277,0.043767477274993735,1.710875859750457e-11
4230,relationship,care,better,6.199644748514672e-05,2.2544162721871526e-05,0.025160129393413364,0.8806045287694677,0.4731835029328596,1.663961907942544e-11
3135,relationship,house,open,0.00030511585069824775,5.793338937308501e-06,0.017241554907830695,0.838131141352881,0.5451961349364394,1.6615863090774794e-11
2190,relationship,year,good,7.46194926929525e-05,5.306275035943288e-05,0.014805003866017283,0.9595835839085275,0.2810340708349596,1.6474397789226953e-11
2342,relationship,health,good,0.00013687904559624964,5.475161823849985e-05,0.015276213807254977,0.9901249689887484,0.13935265100862745,1.595382747558132e-11
2339,relationship,times,good,0.00011239233363717631,5.449325267257033e-05,0.015204127396797131,0.9854527016442584,0.16926840145338126,1.5762199242995858e-11
2382,relationship,work,good,0.0001630758160429698,5.4930801193421405e-05,0.015326207528318599,0.9933653027613906,0.11397566855015648,1.5647766043897504e-11
3418,relationship,serve,better,7.645309773810397e-05,1.4917677607434918e-05,0.016648686557259252,0.5827040295040739,0.8125138947538191,1.542790932244065e-11
4374,relationship,quality,better,0.00011629804280655263,2.5145522768984345e-05,0.028063344571181606,0.9822170599913562,0.18563965523530668,1.5235028002888463e-11
2458,relationship,at,good,0.00047137022155622924,5.525218714212211e-05,0.01541587721526033,0.9991772269150213,0.037509928037813285,1.5060038791231886e-11
3773,relationship,ties,close,4.82419696722219e-05,6.202538957857101e-05,0.020510416678936143,0.970087275355088,0.24188839332915835,1.4845131372868705e-11
2477,relationship,place,good,0.00015627430601603437,5.495360211552856e-05,0.015332569198937981,0.9937776332644986,0.11032180429731243,1.4526468055304584e-11
1951,relationship,number,good,4.520239198237212e-05,4.821588478119693e-05,0.013452683016875827,0.8719331585012109,0.48944007606419193,1.4350267408250017e-11
4368,relationship,ways,better,7.360648936319557e-05,2.4535496454398517e-05,0.027382532371690332,0.9583886330091616,0.2841503458027774,1.4051825674568624e-11
4401,relationship,or,better,0.0001619578230112807,2.5405148707651863e-05,0.028353096836162547,0.9923583892656891,0.12008706124328439,1.4009427561506352e-11
3743,relationship,contact,close,3.339191777345479e-05,6.0105451992218625e-05,0.019875536025042703,0.9400591363195875,0.3404317531636891,1.358013668066469e-11
2501,relationship,game,good,8.124584530337555e-05,5.416389686891702e-05,0.015112234045748553,0.979496651113332,0.20089281048683372,1.335992836804649e-11
4371,relationship,choice,better,5.698545418002304e-05,2.399387544422022e-05,0.02677806305223069,0.9372322068280741,0.3476761740474903,1.2729709817617026e-11
3440,relationship,5,close,2.2805362157432925e-05,5.131206485422409e-05,0.01696775849321441,0.8025291179223032,0.596371618125438,1.1841259692542992e-11
3807,relationship,watch,close,2.6261770483297245e-05,5.90889835874188e-05,0.019539412533274736,0.9241614036008322,0.3815021720399579,1.1567487480710868e-11
3888,relationship,Letter,close,3.170439686638644e-05,6.114419395660242e-05,0.020219024887525704,0.9563052311667564,0.29167017525265243,1.1432124603575915e-11
3646,relationship,calls,close,2.2428518633653116e-05,5.505181846442128e-05,0.018204411827322617,0.861019478319313,0.5082460563654364,1.14241245272574e-11
2027,relationship,money,good,3.487656113217464e-05,4.650208150956618e-05,0.012974515867788807,0.8409408432826078,0.5409714933878816,1.1383389378026398e-11
4446,relationship,life,better,0.0002458136196710811,2.5539077368424002e-05,0.028502566234342698,0.9975898182019944,0.06326213133612042,1.1319804561194571e-11
2594,relationship,care,good,5.144194086683833e-05,5.310135831415568e-05,0.014815775846645092,0.9602817678381077,0.2786384999919304,1.1276868040624729e-11
1986,relationship,men,good,3.430998572963309e-05,4.5746647639510785e-05,0.012763742749340709,0.8272796226424532,0.5616453592451894,1.1251748823386874e-11
4351,relationship,option,better,4.28359206091208e-05,2.2845824324864426e-05,0.025496795033116297,0.8923878261590703,0.4505484200496996,1.1241959119898052e-11
2229,relationship,story,good,3.475499760815413e-05,4.835477928091009e-05,0.013491435881951475,0.8744449182746326,0.48493717378173845,1.0995128744974231e-11
4436,relationship,results,better,6.850318624324319e-05,2.4910249542997513e-05,0.027800770845039558,0.9730269795763845,0.2290100627563617,1.0864262588452898e-11
4000,relationship,Citizen,close,6.101170908552744e-05,6.335831328112463e-05,0.020951184898633877,0.9909344208813322,0.13270272652518336,1.0747445052661153e-11
3480,relationship,match,close,2.0692425360265973e-05,5.079049861156193e-05,0.016795288138165422,0.7943717362645808,0.6071996870161415,1.0717978255985145e-11
2720,relationship,sense,good,6.252273379251573e-05,5.407371571244604e-05,0.015087072659255185,0.9778658205072804,0.20868830942134378,1.0644549242810955e-11
2179,relationship,amount,good,3.250734467407547e-05,4.728341043501886e-05,0.013192513948996476,0.8550703485460678,0.5183441456412556,1.0510806707770872e-11
2661,relationship,person,good,4.451463924142847e-05,5.275809095280411e-05,0.014720001040826264,0.9540741415350356,0.2992087051851495,1.0343654262734996e-11
4028,relationship,A,close,0.00021531189985891876,6.388375050759127e-05,0.02112493530192322,0.9991523453612334,0.03533096980395857,1.0266192044384593e-11
3928,relationship,ally,close,2.700590290379871e-05,6.076328153354711e-05,0.020093065622003463,0.9503476983380017,0.31054068422040493,1.0239167086451834e-11
3816,relationship,Best,close,2.1274339368294266e-05,5.744071629439451e-05,0.018994367202517633,0.8983822325515098,0.4388035716562794,1.018523170566589e-11
